page,english_text,singlish,sinhala,tamil
Home,Solutions,,,
Home,5 rails,,,
Home,LankaQR · Visa · Mastercard · Amex · UnionPay,,,
Home,FREEMIUM · STARTER PACK,,,
Home,The free starter pack that turns any phone into a till.,,,
Home,"Sign up in minutes and start taking LankaQR & card payments, ringing sales and tracking stock — LKR 0 forever, no card required. Everything a micro-merchant needs to go digital on day one.",,,
Home,LankaQR & card acceptance,,,
Home,Billing & digital receipts,,,
Home,Inventory & low-stock alerts,,,
Home,Loyalty stamps & simple books,,,
Home,Start free →,,,
Home,Book a demo,,,
Home,TICKET · #1042,,,
Home,Plain tea,,,
Home,Egg roti,,,
Home,Faluda × 2,,,
Home,Rice & curry,,,
Home,Total,,,
Home,"1,800 LKR",,,
Home,ENTER AMOUNT,,,
Home,Charge · LankaQR,,,
Home,APP-LESS COMMERCE,,,
Home,"Print a code, stick it on the table or the shop window. Customers scan with any camera, browse your menu, pay by LankaQR or Visa, and earn loyalty — all in the mobile browser.",,,
Home,Customer scans,,,
Home,with the phone camera — no app install,,,
Home,Browses the menu,,,
Home,"with photos, allergens and variants",,,
Home,Pays,,,
Home,"with LankaQR, Visa or card",,,
Home,Earns loyalty,,,
Home,automatically; ticket prints in the kitchen,,,
Home,COMMERCIAL BANK LENDING,,,
Home,"Working capital,",,,
Home,underwritten by your sales.,,,
Home,"Every sale you ring up on youShop builds a real financial history. Once you qualify, Sampath Bank pre-approves a working-capital loan — settled straight into your LankaQR or Visa account.",,,
Home,PRE-APPROVED OFFER,,,
Home,LKR,,,
Home,TERM,,,
Home,90 days,,,
Home,FEE,,,
Home,3.5% flat,,,
Home,PAYOUT,,,
Home,Same day,,,
Home,UNDERWRITTEN BY ECOBANK,,,
Home,Credit score built,,,
Home,Repaid on time,,,
Home,4 of 4 loans,,,
Home,Next tier unlocks at,,,
Home,"300,000 LKR",,,
Home,"Average loan: 250,000 LKR",,,
Home,Taken twice per year on average,,,
Home,Repaid automatically from daily sales,,,
Home,No paperwork — history is your collateral,,,
Home,Tier up as your business grows,,,
Home,Payout to LankaQR or Visa,,,
Home,QR & AUDIO CONFIRMATION,,,
Home,"Desktop QR display that announces every LankaQR or Visa payment out loud, in Sinhala or Tamil. Perfect for busy counters.",,,
Home,BLUETOOTH PRINTER,,,
Home,Receipt 58,,,
Home,"58 mm Bluetooth thermal printer. Pairs to youShop in one tap, prints crisp receipts and daily Z-reports.",,,
Home,KITCHEN DISPLAY SYSTEM,,,
Home,KDS Tablet,,,
Home,Wall-mounted kitchen display for youResto and youQR. Orders appear the second they land — no more shouting across the kitchen.,,,
Home,DAY 1,,,
Home,Download & onboard,,,
Home,"Install youShop from the Play Store, or an agent walks you through it. Under five minutes to your first sale.",,,
Home,WEEK 1,,,
Home,Ring & get paid,,,
Home,"Every sale you take — LankaQR, Orange, cash — flows through LGO. Receipts print via Bluetooth if you have the printer.",,,
Home,MONTH 2,,,
Home,Build a history,,,
Home,Your digitised sales become a real financial history. Sampath Bank's model scores you in the background — no forms.,,,
Home,MONTH 3+,,,
Home,Unlock credit,,,
Home,A pre-approved loan offer appears in-app. Accept in one tap. Cash lands in your LankaQR account the same day.,,,
Home,Getting started,,,
Home,"2 articles · onboarding, first sale, printer pairing",,,
Home,Payments & refunds,,,
Home,"2 articles · LankaQR, LankaPay, cash",,,
Home,Inventory & stock,,,
Home,"2 articles · SKUs, low-stock, barcode scan",,,
Home,local-partner lending,,,
Home,"2 articles · eligibility, repayment, top-ups",,,
Home,youResto & youQR,,,
Home,"2 articles · tables, KDS, delivery",,,
Home,Hardware,,,
Home,"2 articles · POS, SoundBox, printers",,,
Home,English,,,
Home,Default · full coverage,,,
Home,Sinhala,,,
Home,"App, receipts & SoundBox voice",,,
Home,Tamil,,,
Home,App & receipts,,,
Home,Singlish,,,
Home,Cashier-friendly English,,,
Home,SOUNDBOX VOICE PREVIEW,,,
Home,LankaQR payment received — two thousand five hundred rupees,,,
Home,connect@lgotech.lk,,,
Home,Play Store,,,
Home,Products,,,
Home,Merchants,,,
Home,How it works,,,
Home,Help centre,,,
Home,Sinhala · Tamil,,,
Home,Company,,,
Home,Contact,,,
Home,Terms of use,,,
Home,Privacy policy,,,
Home,"— operated by LGO, Sri Lanka. Payments by LankaPay (CBSL-licensed). Credit by Sampath Bank.",,,
Home,· Confidentiality,,,
youShop,Solutions,,,
youShop,Unified retail platform,,,
youShop,One platform for every counter,,,
youShop,"POS, inventory, payments, e-commerce and accounting run in a single platform — no third-party integrations to stitch together or reconcile by hand.",,,
youShop,Real-time inventory,,,
youShop,Stock that stays in sync,,,
youShop,"Live stock across every store and online channel, with low-stock alerts, batch and expiry tracking and automatic reordering from your suppliers.",,,
youShop,Omnichannel orders,,,
youShop,"Sell everywhere, manage once",,,
youShop,"In-store sales, your WebShop and social-selling orders all land in one dashboard, so fulfilment and returns stay simple as you grow.",,,
youShop,Offline billing,,,
youShop,Keep selling with no signal,,,
youShop,"Bill customers, take payments and update stock even when the internet drops. Every sale and receipt is saved on the device and syncs the moment you reconnect.",,,
youShop,Compare plans,,,
youShop,Freemium to Starter — feature by feature.,,,
youShop,Every youShop tier builds on the one before it. Here is exactly what unlocks as you move from a single free counter to a growing shop.,,,
youShop,Legend,,,
youShop,✓ Included · — Not included · Text = feature scope at that tier,,,
youShop,Feature,,,
youShop,What it does,,,
youShop,FREEMIUM,,,
youShop,forever,,,
youShop,Free,,,
youShop,STARTER,,,
youShop,/POS · mo,,,
youShop,Premium · 1–2 outlets,,,
youShop,Talk to sales,,,
youShop,Core service & ordering,,,
youShop,Billing & Invoicing,,,
youShop,"Sales, receipts and invoices",,,
youShop,100 SKUs,,,
youShop,250 bills / month,,,
youShop,500 SKUs,,,
youShop,"1,000 bills / month",,,
youShop,Number of Stores,,,
youShop,Stores supported per account,,,
youShop,Staff User Accounts,,,
youShop,Cashier + admin users,,,
youShop,Offline Billing,,,
youShop,"Bill offline, sync on reconnect",,,
youShop,Inventory & catalog,,,
youShop,Catalog & Variants,,,
youShop,"Products, variants, barcodes",,,
youShop,Basic catalog,,,
youShop,+ Barcodes,,,
youShop,+ Variants,,,
youShop,Stock Tracking,,,
youShop,"Live stock, alerts, reorder",,,
youShop,Low-stock alerts,,,
youShop,Payments,,,
youShop,Payment Methods,,,
youShop,Accepted tender types,,,
youShop,Cash + Wallet / QR,,,
youShop,+ Cards (subject to country availability),,,
youShop,Auto-Reconciliation,,,
youShop,Match settlements to billing,,,
youShop,E-commerce & channels,,,
youShop,WebShop & Social Selling,,,
youShop,"Own storefront + Instagram, Facebook, WhatsApp Catalog",,,
youShop,Marketplaces (Merchant obtained),,,
youShop,Region-specific marketplace integrations,,,
youShop,3rd-Party Logistics,,,
youShop,Region-specific last-mile partners,,,
youShop,Customer database & loyalty,,,
